model,foundation,cosine_similarity
Guard-Gen-0.6B,Authority-Subversion,0.8337324857711792
Guard-Gen-0.6B,Care-Harm,-0.40846672654151917
Guard-Gen-0.6B,Fairness-Cheating,-0.732175886631012
Guard-Gen-0.6B,Loyalty-Betrayal,-0.8257818818092346
Guard-Gen-0.6B,Sanctity-Degradation,-0.870474636554718
Guard-Gen-4B,Authority-Subversion,0.7730915546417236
Guard-Gen-4B,Care-Harm,0.6120970845222473
Guard-Gen-4B,Fairness-Cheating,0.6415529847145081
Guard-Gen-4B,Loyalty-Betrayal,0.10632806271314621
Guard-Gen-4B,Sanctity-Degradation,-0.7032080292701721
Guard-Gen-8B,Authority-Subversion,0.7563933730125427
Guard-Gen-8B,Care-Harm,0.6110207438468933
Guard-Gen-8B,Fairness-Cheating,-0.5824119448661804
Guard-Gen-8B,Loyalty-Betrayal,-0.5831950902938843
Guard-Gen-8B,Sanctity-Degradation,-0.7530253529548645
Llama-3.1-8B,Authority-Subversion,0.6767131090164185
Llama-3.1-8B,Care-Harm,0.3265840411186218
Llama-3.1-8B,Fairness-Cheating,-0.60121089220047
Llama-3.1-8B,Loyalty-Betrayal,-0.6694108247756958
Llama-3.1-8B,Sanctity-Degradation,-0.8088564872741699
Llama-3.1-8B-Instruct,Authority-Subversion,0.7073529958724976
Llama-3.1-8B-Instruct,Care-Harm,0.3593112528324127
Llama-3.1-8B-Instruct,Fairness-Cheating,-0.6265391111373901
Llama-3.1-8B-Instruct,Loyalty-Betrayal,-0.6986150741577148
Llama-3.1-8B-Instruct,Sanctity-Degradation,-0.8269767761230469
Llama-4-Scout-17B-16E,Authority-Subversion,0.588550865650177
Llama-4-Scout-17B-16E,Care-Harm,0.25677546858787537
Llama-4-Scout-17B-16E,Fairness-Cheating,-0.2746035158634186
Llama-4-Scout-17B-16E,Loyalty-Betrayal,-0.6232685446739197
Llama-4-Scout-17B-16E,Sanctity-Degradation,-0.7186325192451477
Llama-4-Scout-17B-16E-Instruct,Authority-Subversion,0.5531550049781799
Llama-4-Scout-17B-16E-Instruct,Care-Harm,0.25020459294319153
Llama-4-Scout-17B-16E-Instruct,Fairness-Cheating,-0.3124312460422516
Llama-4-Scout-17B-16E-Instruct,Loyalty-Betrayal,-0.6283963322639465
Llama-4-Scout-17B-16E-Instruct,Sanctity-Degradation,-0.6915392875671387
Llama-Guard-3-8B,Authority-Subversion,0.7398679852485657
Llama-Guard-3-8B,Care-Harm,0.5630370378494263
Llama-Guard-3-8B,Fairness-Cheating,-0.5990087389945984
Llama-Guard-3-8B,Loyalty-Betrayal,-0.7207849025726318
Llama-Guard-3-8B,Sanctity-Degradation,-0.8614320755004883
Qwen3-0.6B,Authority-Subversion,0.8644658923149109
Qwen3-0.6B,Care-Harm,-0.35952457785606384
Qwen3-0.6B,Fairness-Cheating,-0.7291308641433716
Qwen3-0.6B,Loyalty-Betrayal,-0.8464214205741882
Qwen3-0.6B,Sanctity-Degradation,-0.8725897073745728
Qwen3-0.6B-Base,Authority-Subversion,0.8467618823051453
Qwen3-0.6B-Base,Care-Harm,-0.41558319330215454
Qwen3-0.6B-Base,Fairness-Cheating,-0.7511783242225647
Qwen3-0.6B-Base,Loyalty-Betrayal,-0.8282869458198547
Qwen3-0.6B-Base,Sanctity-Degradation,-0.875271201133728
Qwen3-14B,Authority-Subversion,0.764065146446228
Qwen3-14B,Care-Harm,0.5754565000534058
Qwen3-14B,Fairness-Cheating,-0.4169950485229492
Qwen3-14B,Loyalty-Betrayal,-0.6121349334716797
Qwen3-14B,Sanctity-Degradation,-0.7902039289474487
Qwen3-14B-Base,Authority-Subversion,0.7113028764724731
Qwen3-14B-Base,Care-Harm,0.4466102719306946
Qwen3-14B-Base,Fairness-Cheating,-0.0991644486784935
Qwen3-14B-Base,Loyalty-Betrayal,-0.6573251485824585
Qwen3-14B-Base,Sanctity-Degradation,-0.7520601749420166
Qwen3-235B-A22B,Authority-Subversion,0.8504815697669983
Qwen3-235B-A22B,Care-Harm,0.7235051393508911
Qwen3-235B-A22B,Fairness-Cheating,-0.549873411655426
Qwen3-235B-A22B,Loyalty-Betrayal,-0.8001224994659424
Qwen3-235B-A22B,Sanctity-Degradation,-0.9159989953041077
Qwen3-235B-A22B-Instruct-2507,Authority-Subversion,0.8648260235786438
Qwen3-235B-A22B-Instruct-2507,Care-Harm,0.8066612482070923
Qwen3-235B-A22B-Instruct-2507,Fairness-Cheating,-0.5788501501083374
Qwen3-235B-A22B-Instruct-2507,Loyalty-Betrayal,-0.8002980947494507
Qwen3-235B-A22B-Instruct-2507,Sanctity-Degradation,-0.9306082129478455
Qwen3-32B,Authority-Subversion,0.8273658752441406
Qwen3-32B,Care-Harm,0.5787563323974609
Qwen3-32B,Fairness-Cheating,-0.48029088973999023
Qwen3-32B,Loyalty-Betrayal,-0.7570146322250366
Qwen3-32B,Sanctity-Degradation,-0.8446589708328247
Qwen3-4B,Authority-Subversion,0.7893794775009155
Qwen3-4B,Care-Harm,0.6599418520927429
Qwen3-4B,Fairness-Cheating,0.6554768085479736
Qwen3-4B,Loyalty-Betrayal,0.21134954690933228
Qwen3-4B,Sanctity-Degradation,-0.73984694480896
Qwen3-4B-Base,Authority-Subversion,0.7288620471954346
Qwen3-4B-Base,Care-Harm,0.5166905522346497
Qwen3-4B-Base,Fairness-Cheating,0.3332939147949219
Qwen3-4B-Base,Loyalty-Betrayal,-0.6342661380767822
Qwen3-4B-Base,Sanctity-Degradation,-0.773517906665802
Qwen3-8B,Authority-Subversion,0.7600217461585999
Qwen3-8B,Care-Harm,0.6331890821456909
