model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
Qwen3-8B,Base,HarmBench,harmbench,Safety,1 - ASR,0.2617,73.83,harmbench/qwen3-8b/summary_Qwen3-8B.json,298,,,0.6946,,,,,,,,,,,,,,
Qwen3-8B,DPO,HarmBench,harmbench,Safety,1 - ASR,0.3758,62.42,harmbench/qwen3-8b/summary_dpo-qwen3-8b-2026-07-25-21-34_best.json,298,,,0.6544,,,,,,,,,,,,,,
Qwen3-8B,ReSo,HarmBench,harmbench,Safety,1 - ASR,0.1472,85.28,harmbench/qwen3-8b/summary_qwen3-8b-reso-beta-1-2026-07-24-17-44_best.json,299,,,0.8595,,,,,,,,,,,,,,
Qwen3-8B,ReSo-shuffle,HarmBench,harmbench,Safety,1 - ASR,0.2383,76.17,harmbench/qwen3-8b/summary_qwen3-8b-reso-beta-1-shuffle-1-2026-07-24-22-03_best.json,298,,,0.698,,,,,,,,,,,,,,
Qwen3-8B,Base,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.5328,46.72,deceptionbench/qwen3-8b/deception_bench_qwen3-8b.json,,,,,,0.5278,0.5378,0.5067,0.5533,,,,,,,,,
Qwen3-8B,DPO,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.6567,34.33,deceptionbench/qwen3-8b/deception_bench_dpo-qwen3-8b-2026-07-25-21-34_best.json,,,,,,0.6567,0.6567,0.6233,0.6733,,,,,,,,,
Qwen3-8B,ReSo,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.3161,68.39,deceptionbench/qwen3-8b/deception_bench_qwen3-8b-reso-beta-1-2026-07-24-17-44_best.json,,,,,,0.3133,0.3189,0.2933,0.3317,,,,,,,,,
Qwen3-8B,ReSo-shuffle,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.4345,56.55,deceptionbench/qwen3-8b/deception_bench_qwen3-8b-reso-beta-1-shuffle-1-2026-07-24-22-03_best.json,,,,,,0.4222,0.4467,0.4233,0.4583,,,,,,,,,
Qwen3-8B,Base,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2429,75.71,openrt/qwen3-8b/qwen3-8b/summary.json,6294,,,,,,,,,,,1.0,0.9712962962962963,0.24767407407407407,0.2359567901234568,0.2646604938271605,,
Qwen3-8B,DPO,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2865,71.35,openrt/qwen3-8b/qwen3-8b-dpo/summary.json,6276,,,,,,,,,,,1.0,0.9685185185185186,0.29282592592592593,0.2774691358024691,0.3089506172839506,,
Qwen3-8B,ReSo,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.1948,80.52,openrt/qwen3-8b/qwen3-8b-reso/summary.json,6313,,,,,,,,,,,1.0,0.9742283950617284,0.19631851851851853,0.18981481481481483,0.21558641975308643,,
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2263,77.37,openrt/qwen3-8b/qwen3-8b-reso-shuffle/summary.json,6307,,,,,,,,,,,1.0,0.9733024691358024,0.2298037037037037,0.22021604938271605,0.24691358024691357,,
Qwen3-8B,Base,XSTest,xstest,Alignment,Balanced acc.,0.873,87.3,xstest/qwen3-8b/xstest_qwen3-8b.json,,,,,,,,,,0.956,0.79,,,,,,,
Qwen3-8B,DPO,XSTest,xstest,Alignment,Balanced acc.,0.866,86.6,xstest/qwen3-8b/xstest_dpo-qwen3-8b-2026-07-25-21-34_best.json,,,,,,,,,,0.952,0.78,,,,,,,
Qwen3-8B,ReSo,XSTest,xstest,Alignment,Balanced acc.,0.827,82.7,xstest/qwen3-8b/xstest_qwen3-8b-reso-beta-1-2026-07-24-17-44_best.json,,,,,,,,,,0.784,0.87,,,,,,,
Qwen3-8B,ReSo-shuffle,XSTest,xstest,Alignment,Balanced acc.,0.8725,87.25,xstest/qwen3-8b/xstest_qwen3-8b-reso-beta-1-shuffle-1-2026-07-24-22-03_best.json,,,,,,,,,,0.96,0.785,,,,,,,
Qwen3-8B,Base,ETHICS,ethics,Alignment,Composite,0.6825,68.25,ethics_benchmark/qwen3-8b/ethics_benchmark_qwen3_8b.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-8B,DPO,ETHICS,ethics,Alignment,Composite,0.691,69.1,ethics_benchmark/qwen3-8b/ethics_benchmark_dpo-qwen3-8b-2026-07-25-21-34_best.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-8B,ReSo,ETHICS,ethics,Alignment,Composite,0.6613,66.13,ethics_benchmark/qwen3-8b/ethics_benchmark_qwen3-8b-reso-beta-1-2026-07-24-17-44_best.json,,,,,,,,,,,,,,,,,1.0,
