model,category,peak_r2
Guard-Gen-0.6B,authority,0.1122214245
Guard-Gen-0.6B,betrayal,0.2131831968
Guard-Gen-0.6B,care,0.2055086093
Guard-Gen-0.6B,cheating,0.2114070338
Guard-Gen-0.6B,degradation,0.1603478333
Guard-Gen-0.6B,fairness,0.113033847
Guard-Gen-0.6B,harm,0.2163795257
Guard-Gen-0.6B,loyalty,0.1978470263
Guard-Gen-0.6B,overall,0.1565858397
Guard-Gen-0.6B,sanctity,0.0846627613
Guard-Gen-0.6B,subversion,0.1473302058
Guard-Gen-4B,authority,0.1322428312
Guard-Gen-4B,betrayal,0.2343331927
Guard-Gen-4B,care,0.2598868143
Guard-Gen-4B,cheating,0.2268739809
Guard-Gen-4B,degradation,0.1862696666
Guard-Gen-4B,fairness,0.1172039831
Guard-Gen-4B,harm,0.2568118359
Guard-Gen-4B,loyalty,0.1900470001
Guard-Gen-4B,overall,0.1694266143
Guard-Gen-4B,sanctity,0.0916988816
Guard-Gen-4B,subversion,0.1708224071
Guard-Gen-8B,authority,0.1110114381
Guard-Gen-8B,betrayal,0.2261635047
Guard-Gen-8B,care,0.2148388939
Guard-Gen-8B,cheating,0.2074591374
Guard-Gen-8B,degradation,0.1494497019
Guard-Gen-8B,fairness,0.1077221016
Guard-Gen-8B,harm,0.2306589307
Guard-Gen-8B,loyalty,0.1848872719
Guard-Gen-8B,overall,0.160735456
Guard-Gen-8B,sanctity,0.0912958095
Guard-Gen-8B,subversion,0.1563498304
Llama-3.1-8B,authority,0.1811210339
Llama-3.1-8B,betrayal,0.3137747715
Llama-3.1-8B,care,0.3204976563
Llama-3.1-8B,cheating,0.2890572439
Llama-3.1-8B,degradation,0.2846461991
Llama-3.1-8B,fairness,0.2090184258
Llama-3.1-8B,harm,0.3223923498
Llama-3.1-8B,loyalty,0.2924409128
Llama-3.1-8B,overall,0.2598451048
Llama-3.1-8B,sanctity,0.1797566642
Llama-3.1-8B,subversion,0.2470037068
Llama-3.1-8B-Instruct,authority,0.180693097
Llama-3.1-8B-Instruct,betrayal,0.3285441697
Llama-3.1-8B-Instruct,care,0.3355776816
Llama-3.1-8B-Instruct,cheating,0.2934950551
Llama-3.1-8B-Instruct,degradation,0.2925765286
Llama-3.1-8B-Instruct,fairness,0.207703388
Llama-3.1-8B-Instruct,harm,0.3376989613
Llama-3.1-8B-Instruct,loyalty,0.2938527882
Llama-3.1-8B-Instruct,overall,0.2635140524
Llama-3.1-8B-Instruct,sanctity,0.1828683247
Llama-3.1-8B-Instruct,subversion,0.2534064079
Llama-4-Scout-17B-16E,authority,0.1553027429
Llama-4-Scout-17B-16E,betrayal,0.275969674
Llama-4-Scout-17B-16E,care,0.2917896544
Llama-4-Scout-17B-16E,cheating,0.2559347099
Llama-4-Scout-17B-16E,degradation,0.2381238182
Llama-4-Scout-17B-16E,fairness,0.1667385958
Llama-4-Scout-17B-16E,harm,0.2876510346
Llama-4-Scout-17B-16E,loyalty,0.2466623845
Llama-4-Scout-17B-16E,overall,0.2095357768
Llama-4-Scout-17B-16E,sanctity,0.1308119113
Llama-4-Scout-17B-16E,subversion,0.1951594265
Llama-4-Scout-17B-16E-Instruct,authority,0.1525197155
Llama-4-Scout-17B-16E-Instruct,betrayal,0.28836334
Llama-4-Scout-17B-16E-Instruct,care,0.2953249377
