arm,step,name,rsa,asr,n_behaviors,asr_ci_lo,asr_ci_hi,ci_method,delta_vs_first,delta_ci_lo,delta_ci_hi,mcnemar_p,n_discordant
dpo,0,dpo-qwen3-8b-2026-07-28-21-13_step000000,0.054677753513592525,0.245,298,0.19958661581627538,0.2968377634129077,wilson,,,,,
dpo,50,dpo-qwen3-8b-2026-07-28-21-13_step000050,0.05547523690225261,0.2617,298,0.215093772339704,0.31446058194019083,wilson,0.01677852348993289,-0.013422818791946308,0.04697986577181208,0.4048728942871094,23.0
dpo,100,dpo-qwen3-8b-2026-07-28-21-13_step000100,0.05583362083472575,0.3356,298,0.28435298056356517,0.39097326393946086,wilson,0.09060402684563759,0.050335570469798654,0.13087248322147652,1.429926123819314e-05,39.0
dpo,150,dpo-qwen3-8b-2026-07-28-21-13_step000150,0.05616701859727095,0.3557,298,0.3035034071328424,0.4115788074310375,wilson,0.11073825503355703,0.0738255033557047,0.1476510067114094,2.0954757928848267e-09,35.0
dpo,200,dpo-qwen3-8b-2026-07-28-21-13_step000200,0.05592781874982508,0.3591,298,0.3067052397258868,0.41500296984813545,wilson,0.1140939597315436,0.07718120805369127,0.15436241610738255,5.398760549724102e-09,38.0
dpo,250,dpo-qwen3-8b-2026-07-28-21-13_step000250,0.056016641441308974,0.3591,298,0.3067052397258868,0.41500296984813545,wilson,0.1140939597315436,0.07718120805369127,0.15436241610738255,1.946500560734421e-08,40.0
dpo,300,dpo-qwen3-8b-2026-07-28-21-13_step000300,0.056131387078435666,0.3725,298,0.31954075772455975,0.4286714318900318,wilson,0.12751677852348994,0.087248322147651,0.16778523489932887,4.1109160520136356e-10,42.0
dpo,350,dpo-qwen3-8b-2026-07-28-21-13_step000350,0.056386858184596274,0.3792,298,0.3259752057128613,0.4354889739220149,wilson,0.1342281879194631,0.09060402684563758,0.18120805369127516,2.291864209524874e-08,54.0
dpo,400,dpo-qwen3-8b-2026-07-28-21-13_step000400,0.05649268009865496,0.3691,298,0.3163276828492238,0.4252585117552255,wilson,0.12416107382550337,0.08389261744966443,0.16778523489932887,2.4579776436439715e-08,47.0
dpo,450,dpo-qwen3-8b-2026-07-28-21-13_step000450,0.05698983414464181,0.3658,298,0.3131173942493743,0.4218428053449326,wilson,0.1208053691275168,0.07718120805369127,0.1644295302013423,1.0087482138487759e-07,48.0
dpo,500,dpo-qwen3-8b-2026-07-28-21-13_step000500,0.0569082611107654,0.3792,298,0.3259752057128613,0.4354889739220149,wilson,0.1342281879194631,0.09395973154362416,0.17785234899328858,1.5138326148189662e-09,48.0
dpo,550,dpo-qwen3-8b-2026-07-28-21-13_step000550,0.057699042309317994,0.3758,298,0.3227566035955064,0.43208158102922756,wilson,0.13087248322147652,0.087248322147651,0.17785234899328858,1.8323628836469652e-08,51.0
dpo,600,dpo-qwen3-8b-2026-07-28-21-13_step000600,0.05729112385279399,0.3725,298,0.31954075772455975,0.4286714318900318,wilson,0.12751677852348994,0.08389261744966443,0.174496644295302,6.973810151578164e-08,52.0
dpo,650,dpo-qwen3-8b-2026-07-28-21-13_step000650,0.057382214730836524,0.3725,298,0.31954075772455975,0.4286714318900318,wilson,0.12751677852348994,0.08389261744966443,0.17114093959731544,1.3680484300948594e-08,48.0
dpo,700,dpo-qwen3-8b-2026-07-28-21-13_step000700,0.05760142880095826,0.3792,298,0.3259752057128613,0.4354889739220149,wilson,0.1342281879194631,0.09060402684563758,0.18120805369127516,4.209852022540872e-09,50.0
dpo,750,dpo-qwen3-8b-2026-07-28-21-13_step000750,0.05742274026384068,0.3792,298,0.3259752057128613,0.4354889739220149,wilson,0.1342281879194631,0.09060402684563758,0.17785234899328858,4.209852022540872e-09,50.0
dpo,800,dpo-qwen3-8b-2026-07-28-21-13_step000800,0.058131070133810546,0.3691,298,0.3163276828492238,0.4252585117552255,wilson,0.12416107382550337,0.08053691275167785,0.16778523489932887,1.2115257419509362e-07,51.0
dpo,850,dpo-qwen3-8b-2026-07-28-21-13_step000850,0.05759233850766797,0.3859,298,0.3324206222711164,0.4422955473840445,wilson,0.14093959731543623,0.09731543624161074,0.18456375838926176,4.461782054931973e-10,50.0
dpo,900,dpo-qwen3-8b-2026-07-28-21-13_step000900,0.057862070213961316,0.3725,298,0.31954075772455975,0.4286714318900318,wilson,0.12751677852348994,0.08053691275167785,0.174496644295302,1.38433549734529e-07,54.0
dpo,950,dpo-qwen3-8b-2026-07-28-21-13_step000950,0.05779923373358356,0.3758,298,0.3227566035955064,0.43208158102922756,wilson,0.13087248322147652,0.08389261744966443,0.17785234899328858,8.067609591488889e-08,55.0
dpo,1000,dpo-qwen3-8b-2026-07-28-21-13_step001000,0.05761294541991375,0.3658,298,0.3131173942493743,0.4218428053449326,wilson,0.1208053691275168,0.07718120805369127,0.1644295302013423,2.098677427397888e-07,50.0
reso,0,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000000,0.059811177707098234,0.2416,298,0.19649672691188655,0.29330165730715424,wilson,,,,,
reso,50,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000050,0.0729275260807843,0.255,298,0.20887956828009877,0.3074227959795114,wilson,0.013422818791946317,0.0,0.030201342281879196,0.21875,6.0
reso,100,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000100,0.11988551013376503,0.2383,298,0.19341080805121372,0.28976158115768474,wilson,-0.0033557046979866,-0.030201342281879196,0.020134228187919462,1.0,15.0
reso,150,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000150,0.140814811440672,0.2383,298,0.19341080805121372,0.28976158115768474,wilson,-0.0033557046979866,-0.03691275167785235,0.030201342281879196,1.0,23.0
reso,200,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000200,0.13863865980090198,0.2349,298,0.19032891564421367,0.2862174785545425,wilson,-0.006711409395973172,-0.03691275167785235,0.026845637583892617,0.8388197422027588,24.0
reso,250,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000250,0.1771280334530673,0.2181,298,0.1749819778295677,0.2684344413184768,wilson,-0.023489932885906062,-0.05704697986577181,0.010067114093959731,0.24778856337070465,27.0
reso,300,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000300,0.19850086774319967,0.2047,298,0.16278350973249697,0.2541289293749783,wilson,-0.03691275167785235,-0.07718120805369127,0.003355704697986577,0.10812902140605732,39.0
reso,350,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000350,0.20334828074348482,0.198,298,0.1567123079114888,0.24694814117570177,wilson,-0.043624161073825524,-0.08389261744966443,-0.003355704697986577,0.04703102743951604,37.0
reso,400,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000400,0.20650618842335816,0.1812,298,0.1416218040710863,0.22890866996539264,wilson,-0.06040268456375841,-0.10067114093959731,-0.020134228187919462,0.0050976432976312935,38.0
reso,450,qwen3-8b-reso-beta-1-2026-07-24-17-44_step000450,0.22081914243598166,0.1711,298,0.1326316639270165,0.21802082507903545,wilson,-0.07046979865771813,-0.11409395973154363,-0.030201342281879196,0.0014504910141113214,41.0
