model,layer,category,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,n
Guard-Gen-0.6B,0,authority-subversion_vice,0.3565075632340015,1.0267604117596806e-57,0.3164950403910375,0.3952537245878919,0.3222830640055505,6.569163296887687e-47,1889
Guard-Gen-0.6B,0,authority-subversion_virtue,0.2531679402456703,2.2130265040350865e-23,0.2051989613085444,0.2999235289929478,0.2228846752174691,2.3703586941642405e-18,1501
Guard-Gen-0.6B,0,care-harm_vice,0.3853020671761529,4.907870415089284e-70,0.3468441191345128,0.4224665944751581,0.3698103256458364,3.0200220309308735e-64,1950
Guard-Gen-0.6B,0,care-harm_virtue,0.2989308607722192,1.113736140586594e-37,0.2557904329866926,0.3408830784728752,0.3032032307899722,9.122898059476595e-39,1761
Guard-Gen-0.6B,0,fairness-cheating_vice,0.4515780511829202,1.3548044527803896e-98,0.415517116896712,0.4862216659276507,0.4029190062382675,5.210319274563282e-77,1950
Guard-Gen-0.6B,0,fairness-cheating_virtue,0.2174343736107393,6.158971926348335e-19,0.170740676298556,0.2631536436711226,0.2093854068188901,1.2052161534636624e-17,1634
Guard-Gen-0.6B,0,loyalty-betrayal_vice,0.404755320232487,9.231546536218984e-78,0.3669582790806316,0.441218120703592,0.3704087668219099,1.8289026977395772e-64,1950
Guard-Gen-0.6B,0,loyalty-betrayal_virtue,0.2651669207488596,7.906730544543017e-29,0.2204689303159976,0.3087535528105118,0.2423231695451429,3.305700933917093e-24,1705
Guard-Gen-0.6B,0,overall,0.3259493464530407,0.0,0.3126941066639834,0.3390776583357164,0.3005624010763243,0.0,17635
Guard-Gen-0.6B,0,sanctity-degradation_vice,0.272389261524324,5.31547388874093e-33,0.2297823299808351,0.3139540982879096,0.2650527492375724,2.830692912470803e-31,1860
Guard-Gen-0.6B,0,sanctity-degradation_virtue,0.2074809454404812,2.0321778686299602e-15,0.1574228190832256,0.2564755627833168,0.1994322750730951,2.4420632736572423e-14,1435
Guard-Gen-0.6B,1,authority-subversion_vice,0.3582198756457936,2.7196310839970378e-58,0.3182603152048718,0.3969087730823866,0.3236281727334238,2.619741220638187e-47,1889
Guard-Gen-0.6B,1,authority-subversion_virtue,0.2677160260861769,4.730469477668595e-26,0.2200999385939008,0.3140593613991589,0.2385355674154105,7.295305593408689e-21,1501
Guard-Gen-0.6B,1,care-harm_vice,0.3611956952830791,3.670945702079828e-61,0.3219677363959259,0.3991855767300035,0.3480079389292316,1.2774768974205964e-56,1950
Guard-Gen-0.6B,1,care-harm_virtue,0.300981945289391,3.368114753464107e-38,0.2578956229523574,0.3428735180919519,0.3045824168524453,4.031144388264093e-39,1761
Guard-Gen-0.6B,1,fairness-cheating_vice,0.4419894501739986,4.6724154841958896e-94,0.4055562220372835,0.477020546667452,0.3844714934803284,1.021652111266048e-69,1950
Guard-Gen-0.6B,1,fairness-cheating_virtue,0.2243144182086042,4.405367926016958e-20,0.1777539770654353,0.2698727990225434,0.221498856521835,1.3104711318407531e-19,1634
Guard-Gen-0.6B,1,loyalty-betrayal_vice,0.4129847323759914,3.4553101585210797e-81,0.3754779296183268,0.4491411052880888,0.3757533653881842,1.9784250229067017e-66,1950
Guard-Gen-0.6B,1,loyalty-betrayal_virtue,0.2868140507097881,1.2043051068261622e-33,0.2426445716306059,0.3297968625675647,0.2613608601470059,5.017022067305778e-28,1705
Guard-Gen-0.6B,1,overall,0.3264001187583628,0.0,0.3131491515782336,0.339524024307934,0.3012615371356998,0.0,17635
Guard-Gen-0.6B,1,sanctity-degradation_vice,0.2650486228254267,2.836930114236477e-31,0.2222745802279985,0.3068043414188284,0.2569336301070077,1.9957708862900457e-29,1860
Guard-Gen-0.6B,1,sanctity-degradation_virtue,0.2085264510735067,1.4601022065422584e-15,0.1584883397167895,0.2574961789069839,0.2025336904136281,9.484443234687655e-15,1435
Guard-Gen-0.6B,2,authority-subversion_vice,0.1827545075546341,1.1923230870570669e-15,0.1387970926016607,0.2259932091181871,0.223113594873041,9.737081903842472e-23,1889
Guard-Gen-0.6B,2,authority-subversion_virtue,0.0894515094622425,0.0005211042734104,0.0390306537758844,0.1394180096083644,0.1552426467158806,1.4829712444207175e-09,1501
Guard-Gen-0.6B,2,care-harm_vice,0.2059558610690651,4.017030339950189e-20,0.1630563423673604,0.2480780743493081,0.2165651239283967,3.960553121042062e-22,1950
Guard-Gen-0.6B,2,care-harm_virtue,-0.1119684019535866,2.475299935735405e-06,-0.1578549886689236,-0.0655992910009656,-0.0091079315111715,0.7025027286943286,1761
Guard-Gen-0.6B,2,fairness-cheating_vice,0.2227991061033096,2.3351660560044538e-23,0.1801909639523198,0.2645727037281558,0.2577455994711689,5.816014854688236e-31,1950
Guard-Gen-0.6B,2,fairness-cheating_virtue,-0.0710329835596045,0.0040687522752572,-0.1191166981976133,-0.0226168582531673,-0.0520201161464722,0.0354997487214961,1634
Guard-Gen-0.6B,2,loyalty-betrayal_vice,0.2107563721466099,5.123027560096758e-21,0.1679372636774796,0.2527817159580223,0.2854836403514111,6.882049274883262e-38,1950
Guard-Gen-0.6B,2,loyalty-betrayal_virtue,-0.0618580599874271,0.0106250461110486,-0.1090112686982873,-0.0144270946130131,-0.0661349285278023,0.0062987764839919,1705
Guard-Gen-0.6B,2,overall,0.0872308965340978,3.873622376989595e-31,0.0725647516669317,0.1018593249124825,0.1407595075996405,1.0078684196026299e-78,17635
Guard-Gen-0.6B,2,sanctity-degradation_vice,0.0862354831172402,0.0001964196222698,0.0409441975488457,0.1311731114746312,0.1224133066313562,1.1850616511647985e-07,1860
Guard-Gen-0.6B,2,sanctity-degradation_virtue,-0.0435927342677826,0.0988000122271002,-0.0951264859287035,0.0081740480847409,-0.009889299946567,0.7081787789451838,1435
Guard-Gen-0.6B,3,authority-subversion_vice,0.182999462492393,1.0910576046535625e-15,0.1390456322774689,0.2262336825656127,0.2239361323912535,6.733874832742026e-23,1889
Guard-Gen-0.6B,3,authority-subversion_virtue,0.0896293158053031,0.0005078308794646,0.0392096228890228,0.1395937646166974,0.1566808619232375,1.0414940122366955e-09,1501
Guard-Gen-0.6B,3,care-harm_vice,0.206595120993139,3.0624911790236573e-20,0.1637061889451868,0.248704549302471,0.2164772918406262,4.1191597978774353e-22,1950
Guard-Gen-0.6B,3,care-harm_virtue,-0.1114450565184738,2.758883023778939e-06,-0.1573381926157348,-0.0650715947797076,0.0058959605904484,0.8047177294775371,1761
Guard-Gen-0.6B,3,fairness-cheating_vice,0.2227169072941576,2.425349915397066e-23,0.1801072803229542,0.2644922655474825,0.2573651184697768,7.145817460871469e-31,1950
Guard-Gen-0.6B,3,fairness-cheating_virtue,-0.0709478868224521,0.0041134059131354,-0.1190323831076443,-0.0225313740708558,-0.0472422978805907,0.0562274002197139,1634
Guard-Gen-0.6B,3,loyalty-betrayal_vice,0.211301633834782,4.0415257223521434e-21,0.1684917914925494,0.2533158492139903,0.2850188243083603,9.131114017832054e-38,1950
Guard-Gen-0.6B,3,loyalty-betrayal_virtue,-0.0618661552868126,0.010614825778126,-0.1090192985199347,-0.0144352193190885,-0.0622000084651189,0.0102008714942309,1705
Guard-Gen-0.6B,3,overall,0.0879261590878282,1.3026375881843343e-31,0.0732616632827112,0.1025526424539974,0.1412508620267618,2.887810409232177e-79,17635
Guard-Gen-0.6B,3,sanctity-degradation_vice,0.0863665286113846,0.0001920451777893,0.0410760043258609,0.1313028663148847,0.121654023689197,1.4196249755871353e-07,1860
Guard-Gen-0.6B,3,sanctity-degradation_virtue,-0.043551815254231,0.0991172631982924,-0.0950858599049057,0.0082150421796145,-0.0080776826622244,0.7598085438984515,1435
Guard-Gen-0.6B,4,authority-subversion_vice,0.1833094380276574,9.749733896514962e-16,0.1393601520173969,0.2265379794944289,0.2255340625342098,3.27557753754334e-23,1889
Guard-Gen-0.6B,4,authority-subversion_virtue,0.0897811335386461,0.0004967474601211,0.0393624359993556,0.1397438283519008,0.1583941411466072,6.807328050310126e-10,1501
Guard-Gen-0.6B,4,care-harm_vice,0.2070876925977409,2.4832300908165712e-20,0.1642069433192595,0.2491872456182772,0.2179550067798577,2.1228242368899713e-22,1950
Guard-Gen-0.6B,4,care-harm_virtue,-0.110860030784997,3.112737053299985e-06,-0.1567604584031358,-0.0644817361865498,0.0228971209639281,0.3369019330474057,1761
Guard-Gen-0.6B,4,fairness-cheating_vice,0.2226011166075769,2.5582626964809445e-23,0.1799893990666653,0.2643789540126632,0.2589401786071604,3.0401079303541296e-31,1950
Guard-Gen-0.6B,4,fairness-cheating_virtue,-0.0706496086791288,0.0042734543664537,-0.118736839291316,-0.0222317434579514,-0.0376081574357466,0.1286115531471978,1634
Guard-Gen-0.6B,4,loyalty-betrayal_vice,0.2117522430984714,3.3206676201473964e-21,0.1689500788193724,0.2537572425073691,0.2837911620004916,1.9220134516910605e-37,1950
Guard-Gen-0.6B,4,loyalty-betrayal_virtue,-0.062060781527346,0.0103717250753084,-0.1092123486999022,-0.0146305544372351,-0.0592294051259,0.0144437565854358,1705
Guard-Gen-0.6B,4,overall,0.0886688517164631,4.027966033841603e-32,0.0740061332913655,0.1032932416857715,0.1419787721798916,4.495662882449538e-80,17635
Guard-Gen-0.6B,4,sanctity-degradation_vice,0.0865671196725581,0.0001855260447627,0.0412777637342983,0.1315014787927823,0.1221397665944858,1.2648867366299944e-07,1860
Guard-Gen-0.6B,4,sanctity-degradation_virtue,-0.0433889169707333,0.1003882967361461,-0.0949241263094033,0.0083782376361396,-0.0057412209003274,0.8279763356760885,1435
Guard-Gen-0.6B,5,authority-subversion_vice,0.1839435337837591,7.740796146397185e-16,0.1400035711663723,0.227160432627162,0.2278964179368013,1.1172525537503304e-23,1889
Guard-Gen-0.6B,5,authority-subversion_virtue,0.0902237715362636,0.0004657055599182,0.0398079895688201,0.1401813393131368,0.1638153682108657,1.719081947075331e-10,1501
Guard-Gen-0.6B,5,care-harm_vice,0.2076907158589679,1.919666101425991e-20,0.1648200143028874,0.2497781507313099,0.2192910015373808,1.1609413940729248e-22,1950
Guard-Gen-0.6B,5,care-harm_virtue,-0.1094701046585981,4.136271578309872e-06,-0.1553877297617308,-0.0630804579210257,0.0306546522298719,0.1985167568710069,1761
Guard-Gen-0.6B,5,fairness-cheating_vice,0.2225987235048003,2.561084343588297e-23,0.1799869627699706,0.2643766121355634,0.2596243646854878,2.093457506137102e-31,1950
Guard-Gen-0.6B,5,fairness-cheating_virtue,-0.0702358464080498,0.004504812936992,-0.1183268558865196,-0.0218161194835686,-0.0284415209248201,0.2505404907495676,1634
Guard-Gen-0.6B,5,loyalty-betrayal_vice,0.2124617708529375,2.4349264857301268e-21,0.1696717339411653,0.2544522233694729,0.2857696380791208,5.781497242484066e-38,1950
