model,category,peak_spearman_r,peak_layer
Guard-Gen-0.6B,authority-subversion_vice,0.4591463536823468,27
Guard-Gen-0.6B,authority-subversion_virtue,0.2743881917942978,27
Guard-Gen-0.6B,care-harm_vice,0.4956237595514114,27
Guard-Gen-0.6B,care-harm_virtue,0.3351664213193931,27
Guard-Gen-0.6B,fairness-cheating_vice,0.4847411158171523,27
Guard-Gen-0.6B,fairness-cheating_virtue,0.3115683227199842,27
Guard-Gen-0.6B,loyalty-betrayal_vice,0.5134747056960551,27
Guard-Gen-0.6B,loyalty-betrayal_virtue,0.339755540972314,27
Guard-Gen-0.6B,sanctity-degradation_vice,0.3379470176758605,27
Guard-Gen-0.6B,sanctity-degradation_virtue,0.2340639789777421,27
Guard-Gen-4B,authority-subversion_vice,0.4189093741472132,35
Guard-Gen-4B,authority-subversion_virtue,0.2652784637276975,5
Guard-Gen-4B,care-harm_vice,0.4572254859222563,35
Guard-Gen-4B,care-harm_virtue,0.3738360742441075,5
Guard-Gen-4B,fairness-cheating_vice,0.4062830872297121,0
Guard-Gen-4B,fairness-cheating_virtue,0.234008266933371,35
Guard-Gen-4B,loyalty-betrayal_vice,0.4951115247933089,35
Guard-Gen-4B,loyalty-betrayal_virtue,0.3420383628245595,35
Guard-Gen-4B,sanctity-degradation_vice,0.3460376678331298,35
Guard-Gen-4B,sanctity-degradation_virtue,0.2604217486108764,35
Guard-Gen-8B,authority-subversion_vice,0.3634357667741054,5
Guard-Gen-8B,authority-subversion_virtue,0.2935772311169399,35
Guard-Gen-8B,care-harm_vice,0.4019530414399699,5
Guard-Gen-8B,care-harm_virtue,0.3996096217493213,35
Guard-Gen-8B,fairness-cheating_vice,0.4231832824677024,5
Guard-Gen-8B,fairness-cheating_virtue,0.313088541995584,35
Guard-Gen-8B,loyalty-betrayal_vice,0.5114622720412744,35
Guard-Gen-8B,loyalty-betrayal_virtue,0.3276705393145363,35
Guard-Gen-8B,sanctity-degradation_vice,0.3402331950880234,35
Guard-Gen-8B,sanctity-degradation_virtue,0.214928112198834,5
Llama-3.1-8B,authority-subversion_vice,0.4459139098661708,31
Llama-3.1-8B,authority-subversion_virtue,0.2785748407894914,31
Llama-3.1-8B,care-harm_vice,0.4687537077360481,31
Llama-3.1-8B,care-harm_virtue,0.3871370138558569,30
Llama-3.1-8B,fairness-cheating_vice,0.4813503971473593,31
Llama-3.1-8B,fairness-cheating_virtue,0.2476374840770296,31
Llama-3.1-8B,loyalty-betrayal_vice,0.4711421559551084,31
Llama-3.1-8B,loyalty-betrayal_virtue,0.3881467599199273,31
Llama-3.1-8B,sanctity-degradation_vice,0.3399377516673444,31
Llama-3.1-8B,sanctity-degradation_virtue,0.2560166187083366,31
Llama-3.1-8B-Instruct,authority-subversion_vice,0.4604467269515551,31
Llama-3.1-8B-Instruct,authority-subversion_virtue,0.2912050931668071,31
Llama-3.1-8B-Instruct,care-harm_vice,0.4690408299841698,31
Llama-3.1-8B-Instruct,care-harm_virtue,0.3974171985126452,31
Llama-3.1-8B-Instruct,fairness-cheating_vice,0.5210846066726171,31
Llama-3.1-8B-Instruct,fairness-cheating_virtue,0.2683431942130421,31
Llama-3.1-8B-Instruct,loyalty-betrayal_vice,0.5176492104720787,31
Llama-3.1-8B-Instruct,loyalty-betrayal_virtue,0.3988319623527006,31
Llama-3.1-8B-Instruct,sanctity-degradation_vice,0.3591088884606347,31
Llama-3.1-8B-Instruct,sanctity-degradation_virtue,0.2525647766391624,31
Llama-4-Scout-17B-16E,authority-subversion_vice,0.3864025690086434,44
Llama-4-Scout-17B-16E,authority-subversion_virtue,0.2972507257646331,44
Llama-4-Scout-17B-16E,care-harm_vice,0.4486846115749589,45
Llama-4-Scout-17B-16E,care-harm_virtue,0.4234951248619971,41
Llama-4-Scout-17B-16E,fairness-cheating_vice,0.4751233812349116,45
Llama-4-Scout-17B-16E,fairness-cheating_virtue,0.3767267993110227,39
Llama-4-Scout-17B-16E,loyalty-betrayal_vice,0.5048743637022702,45
Llama-4-Scout-17B-16E,loyalty-betrayal_virtue,0.3860247218564122,45
Llama-4-Scout-17B-16E,sanctity-degradation_vice,0.3689425847399855,45
Llama-4-Scout-17B-16E,sanctity-degradation_virtue,0.3046056865086889,45
Llama-4-Scout-17B-16E-Instruct,authority-subversion_vice,0.3696081777152368,45
Llama-4-Scout-17B-16E-Instruct,authority-subversion_virtue,0.3229326044110175,45
